participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.allocation,player.random_decisions,player.comprehension_attempts,player.incorrect_answers,player.is_excluded,player.q1,player.q2,player.q3,player.q4,player.q5,player.q6,player.q7,player.q8,player.q9,player.q10,player.agent_allocation_mandatory_round_1,player.agent_allocation_mandatory_round_2,player.agent_allocation_mandatory_round_3,player.agent_allocation_mandatory_round_4,player.agent_allocation_mandatory_round_5,player.agent_allocation_mandatory_round_6,player.agent_allocation_mandatory_round_7,player.agent_allocation_mandatory_round_8,player.agent_allocation_mandatory_round_9,player.agent_allocation_mandatory_round_10,player.delegate_decision_optional,player.agent_allocation_optional_round_1,player.agent_allocation_optional_round_2,player.agent_allocation_optional_round_3,player.agent_allocation_optional_round_4,player.agent_allocation_optional_round_5,player.agent_allocation_optional_round_6,player.agent_allocation_optional_round_7,player.agent_allocation_optional_round_8,player.agent_allocation_optional_round_9,player.agent_allocation_optional_round_10,group.id_in_subsession,subsession.round_number,subsession.aggregated_results,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,77,1,1,"q1, q2, q3, q4, q5, q6, q7, q8, q9, q10",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,25,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,97,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,95,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,31,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,63,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,21,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,43,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,37,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,72,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,11,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,12,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,13,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,14,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,15,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,16,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,17,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,18,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,19,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,1,20,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,21,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,22,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,23,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,24,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,25,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,26,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,27,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,28,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,29,{},w6e9rnlk,,,,,1
1,htfgdsgd,,0,300,300,dictator_game,Debriefing,2025-01-17 11:31:44.826407,1,,,0.0,1,,0.0,20,0,0,,0,,,,,,,,,,,,,,,,,,,,,1,20,20,20,20,20,20,20,20,20,20,1,30,{},w6e9rnlk,,,,,1
